TruckID,Truck,ProjectID,Country,OperatorID,FirstName,LastName,Age,TotalOreMined,TotalWasted,Date
344,Truck 344-Dispatch,9,Australia,11011,Curtis,Lu,41,3399.9900,271.9992,2010-12-30T00:00:00.0000000
361,Truck 361-Dispatch,9,Australia,11011,Curtis,Lu,41,2294.9900,183.5992,2013-01-25T00:00:00.0000000
574,Truck 574-Dispatch,9,Australia,11011,Curtis,Lu,41,2384.0700,190.7256,2013-03-19T00:00:00.0000000
349,Truck 349-Dispatch,9,Australia,11028,Jill,Jimenez,59,3374.9900,269.9992,2011-01-26T00:00:00.0000000
353,Truck 353-Dispatch,9,Australia,11028,Jill,Jimenez,59,2319.9900,185.5992,2013-05-13T00:00:00.0000000
569,Truck 569-Dispatch,9,Australia,11028,Jill,Jimenez,59,742.3500,59.3880,2013-10-07T00:00:00.0000000
344,Truck 344-Dispatch,9,Australia,11030,Bethany,Yuan,52,3399.9900,271.9992,2011-02-05T00:00:00.0000000
355,Truck 355-Dispatch,9,Australia,11030,Bethany,Yuan,52,2319.9900,185.5992,2013-07-24T00:00:00.0000000
566,Truck 566-Dispatch,9,Australia,11030,Bethany,Yuan,52,742.3500,59.3880,2013-11-09T00:00:00.0000000
345,Truck 345-Dispatch,9,Australia,11060,Jon,Zhou,51,3399.9900,271.9992,2011-03-19T00:00:00.0000000
353,Truck 353-Dispatch,9,Australia,11060,Jon,Zhou,51,2319.9900,185.5992,2013-01-04T00:00:00.0000000
575,Truck 575-Dispatch,9,Australia,11060,Jon,Zhou,51,2384.0700,190.7256,2013-06-25T00:00:00.0000000
361,Truck 361-Dispatch,1,United States,11062,Noah,Powell,29,2294.9900,183.5992,2013-01-07T00:00:00.0000000
351,Truck 351-Dispatch,9,Australia,11077,Leah,Ye,47,3374.9900,269.9992,2011-04-15T00:00:00.0000000
357,Truck 357-Dispatch,9,Australia,11077,Leah,Ye,47,2319.9900,185.5992,2013-01-25T00:00:00.0000000
576,Truck 576-Dispatch,9,Australia,11077,Leah,Ye,47,2384.0700,190.7256,2013-06-12T00:00:00.0000000
351,Truck 351-Dispatch,9,Australia,11096,Andrés,Anand,42,3374.9900,269.9992,2011-04-11T00:00:00.0000000
564,Truck 564-Dispatch,9,Australia,11096,Andrés,Anand,42,2384.0700,190.7256,2013-07-30T00:00:00.0000000
361,Truck 361-Dispatch,9,Australia,11096,Andrés,Anand,42,2294.9900,183.5992,2013-02-22T00:00:00.0000000
344,Truck 344-Dispatch,9,Australia,11111,Meredith,Gutierrez,43,3399.9900,271.9992,2011-05-20T00:00:00.0000000
363,Truck 363-Dispatch,9,Australia,11111,Meredith,Gutierrez,43,2294.9900,183.5992,2013-03-12T00:00:00.0000000
576,Truck 576-Dispatch,9,Australia,11111,Meredith,Gutierrez,43,2384.0700,190.7256,2013-08-22T00:00:00.0000000
363,Truck 363-Dispatch,1,United States,11145,Jasmine,Coleman,25,2294.9900,183.5992,2013-01-25T00:00:00.0000000
351,Truck 351-Dispatch,9,Australia,11147,Ernest,Wu,66,3374.9900,269.9992,2011-05-13T00:00:00.0000000
355,Truck 355-Dispatch,9,Australia,11147,Ernest,Wu,66,2319.9900,185.5992,2013-04-29T00:00:00.0000000
561,Truck 561-Dispatch,9,Australia,11147,Ernest,Wu,66,2384.0700,190.7256,2013-10-16T00:00:00.0000000
353,Truck 353-Dispatch,4,United States,11160,Maurice,Tang,31,2319.9900,185.5992,2013-02-21T00:00:00.0000000
359,Truck 359-Dispatch,4,United States,11162,Chase,Cox,31,2294.9900,183.5992,2013-02-18T00:00:00.0000000
350,Truck 350-Dispatch,8,Germany,11245,Ricky,Vazquez,48,3374.9900,269.9992,2011-09-26T00:00:00.0000000
353,Truck 353-Dispatch,8,Germany,11245,Ricky,Vazquez,48,2319.9900,185.5992,2012-12-28T00:00:00.0000000
573,Truck 573-Dispatch,8,Germany,11245,Ricky,Vazquez,48,2384.0700,190.7256,2013-09-16T00:00:00.0000000
378,Truck 378-Dispatch,8,Germany,11245,Ricky,Vazquez,48,2443.3500,195.4680,2013-12-11T00:00:00.0000000
350,Truck 350-Dispatch,10,United Kingdom,11247,Claudia,Zhou,49,3374.9900,269.9992,2011-02-18T00:00:00.0000000
363,Truck 363-Dispatch,10,United Kingdom,11247,Claudia,Zhou,49,2294.9900,183.5992,2013-01-11T00:00:00.0000000
586,Truck 586-Dispatch,10,United Kingdom,11247,Claudia,Zhou,49,742.3500,59.3880,2013-04-05T00:00:00.0000000
584,Truck 584-Dispatch,10,United Kingdom,11247,Claudia,Zhou,49,539.9900,43.1992,2013-08-17T00:00:00.0000000
363,Truck 363-Dispatch,1,United States,11264,Eduardo,Martin,41,2294.9900,183.5992,2013-01-02T00:00:00.0000000
571,Truck 571-Dispatch,1,United States,11264,Eduardo,Martin,41,742.3500,59.3880,2013-11-30T00:00:00.0000000
312,Truck 312-Dispatch,1,United States,11296,Haley,Richardson,69,3578.2700,286.2616,2011-09-01T00:00:00.0000000
359,Truck 359-Dispatch,1,United States,11296,Haley,Richardson,69,2294.9900,183.5992,2013-01-29T00:00:00.0000000
353,Truck 353-Dispatch,6,Canada,11328,Julian,Griffin,65,2319.9900,185.5992,2013-01-05T00:00:00.0000000
563,Truck 563-Dispatch,6,Canada,11328,Julian,Griffin,65,2384.0700,190.7256,2013-04-07T00:00:00.0000000
362,Truck 362-Dispatch,7,France,11345,Robin,Ramos,48,2049.0982,163.9279,2012-10-22T00:00:00.0000000
353,Truck 353-Dispatch,7,France,11345,Robin,Ramos,48,2319.9900,185.5992,2012-12-31T00:00:00.0000000
348,Truck 348-Dispatch,9,Australia,11364,Jennifer,Collins,25,3374.9900,269.9992,2011-06-07T00:00:00.0000000
590,Truck 590-Dispatch,9,Australia,11364,Jennifer,Collins,25,769.4900,61.5592,2013-10-16T00:00:00.0000000
572,Truck 572-Dispatch,9,Australia,11364,Jennifer,Collins,25,742.3500,59.3880,2013-12-26T00:00:00.0000000
360,Truck 360-Dispatch,7,France,11379,Gary,Vazquez,34,2049.0982,163.9279,2012-10-02T00:00:00.0000000
355,Truck 355-Dispatch,7,France,11379,Gary,Vazquez,34,2319.9900,185.5992,2013-02-26T00:00:00.0000000
346,Truck 346-Dispatch,10,United Kingdom,11381,Meredith,Raman,40,3399.9900,271.9992,2011-06-12T00:00:00.0000000
355,Truck 355-Dispatch,10,United Kingdom,11381,Meredith,Raman,40,2319.9900,185.5992,2013-02-03T00:00:00.0000000
574,Truck 574-Dispatch,10,United Kingdom,11381,Meredith,Raman,40,2384.0700,190.7256,2013-08-18T00:00:00.0000000
344,Truck 344-Dispatch,10,United Kingdom,11394,George,McDonald,35,3399.9900,271.9992,2011-07-04T00:00:00.0000000
353,Truck 353-Dispatch,10,United Kingdom,11394,George,McDonald,35,2319.9900,185.5992,2013-02-02T00:00:00.0000000
573,Truck 573-Dispatch,10,United Kingdom,11394,George,McDonald,35,2384.0700,190.7256,2013-08-02T00:00:00.0000000
344,Truck 344-Dispatch,10,United Kingdom,11413,Megan,Stewart,51,3399.9900,271.9992,2011-08-10T00:00:00.0000000
571,Truck 571-Dispatch,10,United Kingdom,11413,Megan,Stewart,51,742.3500,59.3880,2013-07-31T00:00:00.0000000
357,Truck 357-Dispatch,10,United Kingdom,11413,Megan,Stewart,51,2319.9900,185.5992,2013-02-22T00:00:00.0000000
584,Truck 584-Dispatch,10,United Kingdom,11413,Megan,Stewart,51,539.9900,43.1992,2013-09-05T00:00:00.0000000
345,Truck 345-Dispatch,8,Germany,11428,Deanna,Perez,51,3399.9900,271.9992,2011-12-05T00:00:00.0000000
581,Truck 581-Dispatch,8,Germany,11428,Deanna,Perez,51,1700.9900,136.0792,2013-08-12T00:00:00.0000000
355,Truck 355-Dispatch,8,Germany,11428,Deanna,Perez,51,2319.9900,185.5992,2013-03-13T00:00:00.0000000
573,Truck 573-Dispatch,8,Germany,11428,Deanna,Perez,51,2384.0700,190.7256,2013-10-22T00:00:00.0000000
346,Truck 346-Dispatch,9,Australia,11445,Kari,Kim,30,3399.9900,271.9992,2011-06-06T00:00:00.0000000
359,Truck 359-Dispatch,9,Australia,11445,Kari,Kim,30,2294.9900,183.5992,2013-01-04T00:00:00.0000000
576,Truck 576-Dispatch,9,Australia,11445,Kari,Kim,30,2384.0700,190.7256,2013-06-28T00:00:00.0000000
350,Truck 350-Dispatch,9,Australia,11447,Jennifer,Roberts,30,3374.9900,269.9992,2011-06-28T00:00:00.0000000
